WPT,Date,Occurrence ID,Scientific name,Common name,Family
WPT_149,1991-08-30,231853286,Ilybius ater,,Dytiscidae
WPT_132,1991-08-31,231853287,Haliplus confinis,,Haliplidae
WPT_132,1991-08-31,231853288,Helophorus brevipalpis,,Hydrophilidae
WPT_132,1991-08-31,231853289,Ilybius quadriguttatus,,Dytiscidae
WPT_132,1991-08-31,231853290,Haliplus fulvus,,Haliplidae
WPT_132,1991-08-31,231853291,Haliplus flavicollis,,Haliplidae
WPT_132,1991-08-31,231853292,Gyrinus marinus,,Gyrinidae
WPT_132,1991-08-31,231853293,Haliplus ruficollis,,Haliplidae
WPT_132,1991-08-31,231853294,Haliplus lineolatus,,Haliplidae
WPT_132,1991-08-31,231853295,Haliplus immaculatus,,Haliplidae
WPT_132,1991-08-31,231853296,Limnebius truncatellus,,Hydraenidae
WPT_132,1991-08-31,231853297,Laccophilus minutus,,Dytiscidae
WPT_132,1991-08-31,231853298,Hyphydrus ovatus,,Dytiscidae
WPT_132,1991-08-31,231853299,Noterus clavicornis,Larger Noterus,Noteridae
WPT_132,1991-08-31,231853300,Hydroporus palustris,,Dytiscidae
WPT_029,1991-08-31,231853301,Anacaena globulus,,Hydrophilidae
WPT_029,1991-08-31,231853302,Ilybius fuliginosus,,Dytiscidae
WPT_029,1991-08-31,231853303,Laccobius atratus,,Hydrophilidae
WPT_029,1991-08-31,231853304,Agabus guttatus,,Dytiscidae
WPT_029,1991-08-31,231853305,Hydroporus obscurus,,Dytiscidae
WPT_029,1991-08-31,231853306,Hydroporus pubescens,,Dytiscidae
WPT_029,1991-08-31,231853307,Agabus bipustulatus,,Dytiscidae
WPT_029,1991-08-31,231853308,Helophorus flavipes,,Hydrophilidae
WPT_029,1991-08-31,231853309,Enochrus coarctatus,,Hydrophilidae
WPT_029,1991-08-31,231853310,Hydroporus longulus,,Dytiscidae
WPT_029,1991-08-31,231853311,Hydroporus nigrita,,Dytiscidae
WPT_002,1991-08-31,231853312,Haliplus lineatocollis,,Haliplidae
WPT_002,1991-08-31,231853313,Gyrinus substriatus,,Gyrinidae
WPT_002,1991-08-31,231853314,Helophorus brevipalpis,,Hydrophilidae
WPT_148,1991-08-31,231853315,Hydroporus palustris,,Dytiscidae
WPT_148,1991-08-31,231853316,Agabus bipustulatus,,Dytiscidae
WPT_148,1991-08-31,231853317,Hydrobius fuscipes,,Hydrophilidae
WPT_148,1991-08-31,231853318,Anacaena globulus,,Hydrophilidae
WPT_148,1991-08-31,231853319,Laccobius bipunctatus,,Hydrophilidae
WPT_148,1991-08-31,231853320,Ilybius fuliginosus,,Dytiscidae
WPT_006,1991-08-31,231853321,Agabus paludosus,,Dytiscidae
WPT_006,1991-08-31,231853322,Elmis aenea,,Elmidae
WPT_006,1991-08-31,231853323,Haliplus lineatocollis,,Haliplidae
WPT_148,1991-09-01,231853324,Limnebius truncatellus,,Hydraenidae
WPT_148,1991-09-01,231853325,Enochrus coarctatus,,Hydrophilidae
WPT_148,1991-09-01,231853326,Hydrobius fuscipes,,Hydrophilidae
WPT_148,1991-09-01,231853327,Helophorus brevipalpis,,Hydrophilidae
WPT_148,1991-09-01,231853328,Ilybius fuliginosus,,Dytiscidae
WPT_148,1991-09-01,231853329,Ilybius quadriguttatus,,Dytiscidae
WPT_148,1991-09-01,231853330,Agabus bipustulatus,,Dytiscidae
WPT_148,1991-09-01,231853331,Cercyon convexiusculus,,Hydrophilidae
WPT_148,1991-09-01,231853332,Anacaena globulus,,Hydrophilidae
WPT_148,1991-09-01,231853333,Hydroporus palustris,,Dytiscidae
WPT_148,1991-09-01,231853334,Chaetarthria seminulum,,Hydrophilidae
WPT_148,1991-09-01,231853335,Hydroporus erythrocephalus,,Dytiscidae
WPT_161,1991-09-02,231853336,Cercyon littoralis,,Hydrophilidae
